iata_code,name,iso_country,iso_region,municipality,type,lat,lon
AGP,Málaga Airport,ES,ES-AN,MÃ¡laga,large,-4.4991,36.6749
AGQ,Agrinion Air Base,GR,GR-01,Agrinion,closed,21.3512,38.602
AGR,Agra Airport,IN,IN-UP,,medium,77.9609,27.1558
AGS,Augusta Regional At Bush Field,US,US-GA,Augusta,large,-81.9645,33.3699
AGT,Guarani International Airport,PY,PY-10,Ciudad del Este,medium,-54.8427,-25.4545
AGU,Jesús Terán Paredo International Airport,MX,MX-AGU,Aguascalientes,medium,-102.318,21.7056
AGV,Oswaldo Guevara Mujica Airport,VE,VE-P,Acarigua,medium,-69.2379,9.5534
AGW,Agnew Airport,AU,AU-QLD,Agnew,small,142.149,-12.1456
AGX,Agatti Airport,IN,IN-LD,,medium,72.176,10.8237
AGY,Argyle Downs Airport,AU,AU-WA,Argyle Downs,small,128.9245,-16.514
AGZ,Aggeneys Airport,ZA,ZA-NC,Aggeneys,medium,18.8139,-29.2818
AHB,Abha Regional Airport,SA,SA-14,Abha,medium,42.6566,18.2404
AHC,Amedee Army Air Field,US,US-CA,Herlong,small,-120.153,40.2662
AHD,Ardmore Downtown Executive Airport,US,US-OK,Ardmore,small,-97.1227,34.147
AHE,Ahe Airport,PF,PF-U-A,Ahe Atoll,medium,-146.257,-14.4281
AHF,Arapahoe Municipal Airport,US,US-NE,Arapahoe,small,-99.9065,40.3395
AHH,Amery Municipal Airport,US,US-WI,Amery,small,-92.3754,45.2811
AHI,Amahai Airport,ID,ID-MA,Amahai-Seram Island,small,128.926,-3.348
AHJ,Hongyuan Airport,CN,CN-51,Aba,medium,102.3522,32.5315
AHL,Aishalton Airport,GY,GY-UT,Aishalton,small,-59.3134,2.4865
AHM,Ashland Municipal Sumner Parker Field,US,US-OR,Ashland,small,-122.661,42.1903
AHN,Athens Ben Epps Airport,US,US-GA,Athens,medium,-83.3263,33.9486
AHO,Alghero-Fertilia Airport,IT,IT-88,Alghero,medium,8.2908,40.6321
AHS,Ahuas Airport,HN,HN-GD,Ahuas,small,-84.3522,15.4722
AHT,Amchitka Army Airfield,US,US-AK,Amchitka Island,closed,179.2592,51.3778
AHU,Cherif Al Idrissi Airport,MA,MA-HOC,Al Hoceima,medium,-3.8395,35.1771
AHY,Ambatolhy Airport,MG,MG-U,Ambatolahy,small,45.535,-20.0158
AHZ,Altiport L'Alpe d'Huez - Henri GIRAUD,FR,FR-ARA,L'Alpe d'Huez,small,6.0847,45.0883
AIA,Alliance Municipal Airport,US,US-NE,Alliance,small,-102.804,42.0532
AIC,Ailinglaplap Airok Airport,MH,MH-ALL,Bigatyelang Island,small,168.8257,7.2794
AID,Anderson Municipal Darlington Field,US,US-IN,Anderson,small,-85.613,40.1086
AIE,Aiome Airport,PG,PG-MPM,Aiome,small,144.7307,-5.1457
AIF,Marcelo Pires Halzhausen Airport,BR,BR-SP,Assis,small,-50.4531,-22.64
AIG,Yalinga Airport,CF,CF-HK,Yalinga,small,23.26,6.52
AIH,Aiambak Airport,PG,PG-WPD,Aiambak,small,141.2675,-7.3428
AII,Ali-Sabieh Airport,DJ,DJ-AS,Ali-Sabieh,small,42.72,11.1469
AIK,Aiken Regional Airport,US,US-SC,Aiken,small,-81.685,33.6494
AIL,Alligandi Airport,PA,PA-KY,Alligandi,small,-78.0236,9.2226
AIM,Ailuk Airport,MH,MH-ALK,Ailuk Island,small,169.983,10.2168
AIN,Wainwright Airport,US,US-AK,Wainwright,medium,-159.995,70.638
AIO,Atlantic Municipal Airport,US,US-IA,Atlantic,small,-95.0469,41.4073
AIP,Adampur Airport,IN,IN-PB,Adampur,small,75.7588,31.4338
AIR,Aripuanã Airport,BR,BR-MT,AripuanÃ£,small,-59.4573,-10.1883
AIS,Arorae Island Airport,KI,KI-G,Arorae Island,small,176.803,-2.6161
AIT,Aitutaki Airport,CK,CK-U-A,Aitutaki,small,-159.764,-18.8309
AIU,Enua Airport,CK,CK-U-A,Atiu Island,small,-158.119,-19.9678
AIV,George Downer Airport,US,US-AL,Aliceville,small,-88.1978,33.1065
AIW,Ai-Ais Airport,,NA-KU,Ai-Ais,small,17.5966,-27.995
AIY,Atlantic City Municipal Bader Field,US,US-NJ,Atlantic City,closed,-74.4561,39.36
AIZ,Lee C Fine Memorial Airport,US,US-MO,Kaiser Lake Ozark,small,-92.5495,38.096
AJA,Ajaccio-Napoléon Bonaparte Airport,FR,FR-COR,Ajaccio/NapolÃ©on Bonaparte,medium,8.8029,41.9236
AJF,Al-Jawf Domestic Airport,SA,SA-12,Al-Jawf,medium,40.1,29.7851
AJI,Ağrı Airport,TR,TR-04,,medium,43.026,39.6545
AJJ,Akjoujt Airport,MR,MR-12,Akjoujt,small,-14.3832,19.733
AJK,Arak Airport,IR,IR-22,Araak,small,49.8473,34.1381
AJL,Lengpui Airport,IN,IN-MZ,Aizawl,medium,92.6197,23.8406
AJN,Ouani Airport,KM,KM-A,Ouani,medium,44.4303,-12.1317
AJR,Arvidsjaur Airport,SE,SE-BD,Arvidsjaur,medium,19.2819,65.5903
AJS,Abreojos Airport,MX,MX-BCS,Abreojos,small,-113.559,26.7272
AJU,Santa Maria Airport,BR,BR-SE,Aracaju,medium,-37.0703,-10.984
AJY,Mano Dayak International Airport,NE,NE-1,Agadez,medium,8.0001,16.966
AKA,Ankang Wulipu Airport,CN,CN-61,Ankang,small,108.931,32.7081
AKB,Atka Airport,US,US-AK,Atka,small,-174.206,52.2203
AKC,Akron Fulton International Airport,US,US-OH,Akron,medium,-81.4669,41.0375
AKD,Akola Airport,IN,IN-MM,Akola,medium,77.0586,20.699
AKE,Akieni Airport,GA,GA-2,Akieni,small,13.9036,-1.1397
AKF,Kufra Airport,LY,LY-KF,Kufra,medium,23.314,24.1787
AKG,Anguganak Airport,PG,PG-SAN,Anguganak,small,142.2173,-3.5605
AKH,Prince Sultan Air Base,SA,SA-01,,medium,47.5805,24.0627
AKI,Akiak Airport,US,US-AK,Akiak,small,-161.231,60.9029
AKJ,Asahikawa Airport,JP,JP-01,Asahikawa / HokkaidÅ,medium,142.447,43.6708
AKK,Akhiok Airport,US,US-AK,Akhiok,small,-154.183,56.9387
AKL,Auckland International Airport,NZ,NZ-AUK,Auckland,large,174.792,-37.0081
AKM,Zakuoma Airport,TD,TD-SA,ZaKouma,small,19.8172,10.8903
AKN,King Salmon Airport,US,US-AK,King Salmon,medium,-156.649,58.6768
AKO,Colorado Plains Regional Airport,US,US-CO,Akron,small,-103.222,40.1756
AKP,Anaktuvuk Pass Airport,US,US-AK,Anaktuvuk Pass,medium,-151.743,68.1336
AKQ,Gunung Batin Airport,ID,ID-LA,Astraksetra-Sumatra Island,small,105.232,-4.6111
AKR,Akure Airport,NG,NG-ON,Akure,medium,5.301,7.2467
